Repository,Tag,Base Image,JRE Image,Aliases,Dockerfile,Dependency Versions
qoricode/activemq-artemis,2.17.0,openjdk:11.0.13-jre-buster,-,qoricode/activemq-artemis:2.17-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v1,-
qoricode/activemq-artemis,2.18.0,openjdk:11.0.13-jre-buster,-,qoricode/activemq-artemis:2.18-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v1,-
qoricode/activemq-artemis,2.19.0,openjdk:11.0.13-jre-buster,-,qoricode/activemq-artemis:2.19-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v1,-
qoricode/activemq-artemis,2.20.0,openjdk:11.0.13-jre-buster,-,qoricode/activemq-artemis:2.20-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v1,-
qoricode/activemq-artemis,2.21.0,openjdk:11.0.13-jre-buster,-,qoricode/activemq-artemis:2.21-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v1,-
qoricode/activemq-artemis,2.22.0,openjdk:11.0.13-jre-buster,-,qoricode/activemq-artemis:2.22-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v1,-
qoricode/activemq-artemis,2.23.0,debian:bookworm-20230502-slim,eclipse-temurin:17.0.7_7-jre-jammy,qoricode/activemq-artemis:2.23-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v2,JMX_EXPORTER=0.17.0 JGROUPS_KUBERNETES=2.0.0.Final JGROUPS_CORE=5.0.1.Final JAVAX_JSON=1.1.4
qoricode/activemq-artemis,2.23.1,debian:bookworm-20230502-slim,eclipse-temurin:17.0.7_7-jre-jammy,qoricode/activemq-artemis:2.23-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v2,JMX_EXPORTER=0.17.0 JGROUPS_KUBERNETES=2.0.0.Final JGROUPS_CORE=5.0.1.Final JAVAX_JSON=1.1.4
qoricode/activemq-artemis,2.24.0,debian:bookworm-20230502-slim,eclipse-temurin:17.0.7_7-jre-jammy,qoricode/activemq-artemis:2.24-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v2,JMX_EXPORTER=0.17.0 JGROUPS_KUBERNETES=2.0.0.Final JGROUPS_CORE=5.0.1.Final JAVAX_JSON=1.1.4
qoricode/activemq-artemis,2.25.0,debian:bookworm-20230502-slim,eclipse-temurin:17.0.7_7-jre-jammy,qoricode/activemq-artemis:2.25-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v2,JMX_EXPORTER=0.17.0 JGROUPS_KUBERNETES=2.0.0.Final JGROUPS_CORE=5.0.1.Final JAVAX_JSON=1.1.4
qoricode/activemq-artemis,2.26.0,debian:bookworm-20230502-slim,eclipse-temurin:17.0.7_7-jre-jammy,qoricode/activemq-artemis:2.26-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v2,JMX_EXPORTER=0.17.0 JGROUPS_KUBERNETES=2.0.0.Final JGROUPS_CORE=5.0.1.Final JAVAX_JSON=1.1.4
qoricode/activemq-artemis,2.27.0,debian:bookworm-20230502-slim,eclipse-temurin:17.0.7_7-jre-jammy,qoricode/activemq-artemis:2.27-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v2,JMX_EXPORTER=0.18.0 JGROUPS_KUBERNETES=2.0.0.Final JGROUPS_CORE=5.0.1.Final LOG4J=2.19.0
qoricode/activemq-artemis,2.27.1,debian:bookworm-20230502-slim,eclipse-temurin:17.0.7_7-jre-jammy,qoricode/activemq-artemis:2.27-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v2,JMX_EXPORTER=0.18.0 JGROUPS_KUBERNETES=2.0.0.Final JGROUPS_CORE=5.0.1.Final LOG4J=2.19.0
qoricode/activemq-artemis,2.28.0,debian:bookworm-20230502-slim,eclipse-temurin:17.0.7_7-jre-jammy,qoricode/activemq-artemis:2.28-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v2,JMX_EXPORTER=0.18.0 JGROUPS_KUBERNETES=2.0.0.Final JGROUPS_CORE=5.0.1.Final LOG4J=2.19.0
qoricode/activemq-artemis,2.29.0,debian:bookworm-20230502-slim,eclipse-temurin:17.0.7_7-jre-jammy,qoricode/activemq-artemis:2.29-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v2,JMX_EXPORTER=0.18.0 JGROUPS_KUBERNETES=2.0.1.Final JGROUPS_CORE=5.2.2.Final LOG4J=2.20.0
qoricode/activemq-artemis,2.30.0,debian:bookworm-20230725-slim,eclipse-temurin:17.0.8_7-jre-jammy,qoricode/activemq-artemis:2.30-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v2,JMX_EXPORTER=0.18.0 JGROUPS_KUBERNETES=2.0.1.Final JGROUPS_CORE=5.2.2.Final LOG4J=2.20.0
qoricode/activemq-artemis,2.31.0,debian:bookworm-20230919-slim,eclipse-temurin:17.0.8.1_1-jre-jammy,qoricode/activemq-artemis:2.31-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile_v2,JMX_EXPORTER=0.18.0 JGROUPS_KUBERNETES=2.0.1.Final JGROUPS_CORE=5.2.2.Final LOG4J=2.20.0

